ms,target_x,target_y,cursor_x,cursor_y,error_x,error_y
0.016666668,604.6347,604.6347,613.0,609.0,-8.365295,-4.3652954
0.033333335,605.60455,605.60455,613.0,609.0,-7.395447,-3.3954468
0.05,606.15436,606.15436,613.0,609.0,-6.845642,-2.845642
0.06666667,606.2246,606.2246,613.0,609.0,-6.7753906,-2.7753906
0.083333336,605.77313,605.77313,613.0,609.0,-7.2268677,-3.2268677
0.1,604.77795,604.77795,613.0,609.0,-8.222046,-4.222046
0.11666667,603.23865,603.23865,613.0,609.0,-9.761353,-5.7613525
0.13333334,601.1777,601.1777,613.0,609.0,-11.822327,-7.8223267
0.15,598.6401,598.6401,613.0,609.0,-14.359924,-10.359924
0.16666667,595.69354,595.69354,613.0,609.0,-17.306458,-13.3064575
0.18333334,592.4265,592.4265,613.0,609.0,-20.573486,-16.573486
0.2,588.94586,588.94586,613.0,609.0,-24.054138,-20.054138
0.21666667,585.3742,585.3742,613.0,609.0,-27.625793,-23.625793
0.23333333,581.846,581.846,613.0,609.0,-31.153992,-27.153992
0.25,578.50305,578.50305,613.0,609.0,-34.49695,-30.496948
0.26666668,575.48975,575.48975,613.0,609.0,-37.510254,-33.510254
0.28333333,572.94824,572.94824,613.0,609.0,-40.051758,-36.051758
0.3,571.0128,571.0128,613.0,609.0,-41.987183,-37.987183
0.31666666,569.80475,569.80475,613.0,609.0,-43.19525,-39.19525
0.33333334,569.42786,569.42786,613.0,609.0,-43.572144,-39.572144
0.35,569.9631,569.9631,613.0,609.0,-43.036926,-39.036926
0.36666667,571.4655,571.4655,613.0,609.0,-41.534485,-37.534485
0.38333333,573.96045,573.96045,613.0,609.0,-39.03955,-35.03955
0.4,577.4418,577.4418,613.0,609.0,-35.558228,-31.558228
0.41666666,581.87036,581.87036,613.0,609.0,-31.129639,-27.129639
0.43333334,587.174,587.174,613.0,609.0,-25.825989,-21.825989
0.45,593.2487,593.2487,613.0,609.0,-19.751282,-15.751282
0.46666667,599.9606,599.9606,613.0,609.0,-13.039429,-9.039429
0.48333332,607.14923,607.14923,613.0,609.0,-5.850769,-1.850769
