ms,target_x,target_y,cursor_x,cursor_y,error_x,error_y
0.016666668,604.6347,604.6347,657.0,606.0,-52.365295,-1.3652954
0.033333335,605.60455,605.60455,657.0,606.0,-51.395447,-0.39544678
0.05,606.15436,606.15436,657.0,606.0,-50.845642,0.15435791
0.06666667,606.2246,606.2246,657.0,606.0,-50.77539,0.22460938
0.083333336,605.77313,605.77313,657.0,606.0,-51.226868,-0.22686768
0.1,604.77795,604.77795,657.0,606.0,-52.222046,-1.2220459
0.11666667,603.23865,603.23865,657.0,606.0,-53.761353,-2.7613525
0.13333334,601.1777,601.1777,657.0,606.0,-55.822327,-4.8223267
0.15,598.6401,598.6401,658.0,606.0,-59.359924,-7.3599243
0.16666667,595.69354,595.69354,660.0,606.0,-64.30646,-10.3064575
0.18333334,592.4265,592.4265,660.0,606.0,-67.57349,-13.573486
0.2,588.94586,588.94586,660.0,606.0,-71.05414,-17.054138
0.21666667,585.3742,585.3742,660.0,606.0,-74.62579,-20.625793
0.23333333,581.846,581.846,660.0,606.0,-78.15399,-24.153992
0.25,578.50305,578.50305,660.0,606.0,-81.49695,-27.496948
0.26666668,575.48975,575.48975,660.0,606.0,-84.510254,-30.510254
0.28333333,572.94824,572.94824,660.0,606.0,-87.05176,-33.051758
0.3,571.0128,571.0128,660.0,606.0,-88.98718,-34.987183
0.31666666,569.80475,569.80475,660.0,606.0,-90.19525,-36.19525
0.33333334,569.42786,569.42786,660.0,606.0,-90.57214,-36.572144
0.35,569.9631,569.9631,660.0,606.0,-90.03693,-36.036926
0.36666667,571.4655,571.4655,660.0,606.0,-88.534485,-34.534485
0.38333333,573.96045,573.96045,660.0,606.0,-86.03955,-32.03955
0.4,577.4418,577.4418,660.0,606.0,-82.55823,-28.558228
0.41666666,581.87036,581.87036,660.0,606.0,-78.12964,-24.129639
0.43333334,587.174,587.174,660.0,606.0,-72.82599,-18.825989
0.45,593.2487,593.2487,660.0,606.0,-66.75128,-12.751282
0.46666667,599.9606,599.9606,660.0,606.0,-60.03943,-6.0394287
0.48333332,607.14923,607.14923,660.0,606.0,-52.85077,1.149231
0.5,614.6321,614.6321,660.0,606.0,-45.36792,8.63208
0.51666665,622.20984,622.20984,660.0,606.0,-37.79016,16.209839
0.53333336,629.6718,629.6718,660.0,606.0,-30.328186,23.671814
0.55,636.80334,636.80334,660.0,606.0,-23.196655,30.803345
0.56666666,643.3922,643.3922,660.0,606.0,-16.607788,37.392212
0.5833333,649.23566,649.23566,660.0,606.0,-10.764343,43.235657
0.6,654.1478,654.1478,660.0,606.0,-5.852173,48.147827
0.6166667,657.9658,657.9658,660.0,606.0,-2.0341797,51.96582
0.6333333,660.5561,660.5561,660.0,606.0,0.5560913,54.55609
0.65,661.81946,661.81946,660.0,606.0,1.819458,55.819458
0.6666667,661.69556,661.69556,660.0,606.0,1.6955566,55.695557
0.68333334,660.1656,660.1656,660.0,606.0,0.16558838,54.16559
0.7,657.2541,657.2541,660.0,606.0,-2.7459106,51.25409
0.71666664,653.0294,653.0294,660.0,606.0,-6.970581,47.02942
0.73333335,647.6025,647.6025,660.0,606.0,-12.397522,41.602478
0.75,641.124,641.124,660.0,606.0,-18.875977,35.124023
0.76666665,633.78064,633.78064,660.0,606.0,-26.21936,27.78064
0.78333336,625.7896,625.7896,660.0,606.0,-34.21039,19.789612
0.8,617.3924,617.3924,660.0,606.0,-42.607605,11.392395
0.81666666,608.84705,608.84705,660.0,606.0,-51.152954,2.847046
0.8333333,600.42017,600.42017,660.0,606.0,-59.579834,-5.579834
0.85,592.3785,592.3785,660.0,606.0,-67.62152,-13.621521
0.8666667,584.97955,584.97955,660.0,606.0,-75.02045,-21.020447
0.8833333,578.4636,578.4636,660.0,606.0,-81.53638,-27.536377
0.9,573.0448,573.0448,660.0,606.0,-86.9552,-32.9552
0.9166667,568.9036,568.9036,660.0,606.0,-91.096375,-37.096375
0.93333334,566.1803,566.1803,660.0,606.0,-93.8197,-39.819702
0.95,564.9692,564.9692,660.0,606.0,-95.03082,-41.030823
0.96666664,565.3147,565.3147,660.0,606.0,-94.6853,-40.685303
0.98333335,567.2085,567.2085,660.0,606.0,-92.791504,-38.791504
1.0,570.58875,570.58875,660.0,606.0,-89.411255,-35.411255
1.0166667,575.3409,575.3409,660.0,606.0,-84.65912,-30.659119
